date,fmisid,station_lat,station_lon,temperature,humidity,wind_speed,precipitation,fire
2024-08-08,101826,64.931252,28.746722,14.2,79.75,0.96,0.0,1
2024-08-14,101785,64.66589,24.40695,17.49,88.83,2.05,,1
2024-08-15,100947,60.37788,22.0964,19.69,79.08,6.51,,1
2024-08-16,100683,60.303725,25.549164,19.73,84.0,4.22,,1
2024-08-17,137208,62.393322,25.688617,16.65,77.5,1.74,0.0,1
2024-08-19,137208,62.393322,25.688617,14.24,77.62,3.35,0.9,1
2024-08-19,101785,64.66589,24.40695,16.55,72.12,9.53,,1
2024-08-21,137208,62.393322,25.688617,15.65,73.88,3.52,0.0,1
2024-08-26,101252,61.1982,28.47308,17.4,72.12,7.14,,1
2024-09-06,101851,65.868932,24.179364,16.65,93.04,2.11,0.0,1
2024-09-20,101191,60.898392,26.948819,14.49,83.33,2.85,0.0,1
2024-09-21,101785,64.66589,24.40695,10.53,57.0,9.04,,1
2024-09-29,101851,65.868932,24.179364,6.13,65.67,2.89,0.0,1
2024-10-05,101785,64.66589,24.40695,6.74,71.38,5.09,,1
2024-10-17,100947,60.37788,22.0964,11.63,80.62,8.87,,1
2024-10-22,101785,64.66589,24.40695,8.93,85.08,10.64,,1
2024-10-29,101840,65.789444,24.582778,1.85,71.75,4.67,,1
2025-01-05,101785,64.66589,24.40695,-16.69,83.21,3.44,,1
2025-01-14,101785,64.66589,24.40695,1.05,87.54,11.21,,1
2025-01-18,101851,65.868932,24.179364,2.43,54.71,4.24,0.0,1
2025-02-10,101851,65.868932,24.179364,-5.42,87.71,1.52,0.0,1
2025-03-02,101785,64.66589,24.40695,0.2,91.21,8.74,,1
2025-04-05,101689,63.821333,24.163233,-2.49,54.54,3.68,0.0,1
2025-04-10,107029,60.485947,26.592089,-0.43,48.96,4.84,2.9,1
2025-04-20,101785,64.66589,24.40695,1.63,79.67,6.57,,1
2025-04-24,101840,65.789444,24.582778,-0.39,65.17,2.32,,1
2025-04-24,101785,64.66589,24.40695,1.4,65.17,2.73,,1
2025-04-27,101785,64.66589,24.40695,1.94,66.79,5.12,,1
2025-04-30,100968,60.329368,24.97274,3.42,75.62,2.26,0.0,1
2025-05-16,101785,64.66589,24.40695,6.15,73.39,2.66,,1
2025-05-19,101150,60.999201,24.491625,14.91,46.79,2.98,0.0,1
2025-05-19,101785,64.66589,24.40695,6.87,69.96,3.8,,1
2025-06-14,101191,60.898392,26.948819,16.55,57.71,2.48,0.0,1
2025-06-16,101690,64.05029,24.72468,15.8,63.0,2.83,5.5,1
2025-07-19,101840,65.789444,24.582778,20.86,77.71,2.58,,1
2025-07-21,101987,67.987215,24.24301,22.35,54.46,3.32,0.0,1
2025-07-22,101959,66.816596,28.688292,22.45,53.33,2.2,0.0,1
2025-07-23,101785,64.66589,24.40695,22.6,75.35,2.24,,1
2025-07-24,101237,61.040298,28.129162,23.92,62.12,1.43,0.0,1
2025-08-01,101831,64.663925,28.056704,21.82,51.62,2.55,1.2,1
2025-08-05,101237,61.040298,28.129162,19.74,76.42,2.95,3.9,1
2025-08-04,101785,64.66589,24.40695,21.13,71.78,5.57,,1
2025-08-06,101785,64.66589,24.40695,16.08,80.88,7.67,,1
2025-08-09,101660,63.75144,22.52282,17.08,80.17,6.1,,1
2025-08-09,101851,65.868932,24.179364,17.02,81.04,,0.0,1
2025-08-08,101660,63.75144,22.52282,16.78,78.04,7.12,,1
2025-08-11,101851,65.868932,24.179364,15.81,75.92,,0.0,1
2025-08-13,101785,64.66589,24.40695,16.18,75.88,5.36,,1
2025-08-23,101785,64.66589,24.40695,11.01,81.33,4.44,,1
2025-09-16,101785,64.66589,24.40695,13.63,87.83,6.73,,1
2025-09-17,101785,64.66589,24.40695,13.7,86.7,4.42,,1
2025-09-23,101785,64.66589,24.40695,9.14,56.5,10.98,,1
2025-09-25,101785,64.66589,24.40695,11.8,78.92,7.8,,1
2025-09-29,855522,61.68751,27.20671,3.35,87.71,1.05,0.0,1
2025-10-18,101785,64.66589,24.40695,6.02,78.42,8.7,,1
2025-11-30,101785,64.66589,24.40695,2.35,75.62,10.74,,1
2025-12-12,101785,64.66589,24.40695,-5.58,89.0,4.87,,1
2025-12-20,101851,65.868932,24.179364,0.55,97.58,,0.0,1
2026-03-21,101252,61.1982,28.47308,2.5,72.88,6.65,,1
2026-04-10,101441,61.801861,29.315056,1.8,43.0,,0.0,1
2026-04-13,101785,64.66589,24.40695,5.3,51.67,3.41,,1
2026-04-18,101986,67.69168,24.855379,-0.06,75.21,1.74,,1
2026-04-21,101785,64.66589,24.40695,4.27,78.38,4.18,,1
2026-04-26,101785,64.66589,24.40695,1.78,70.33,7.9,,1
2026-05-02,852678,60.291281,24.567815,12.5,60.88,2.83,0.0,1
2015-03-12,100683,60.303725,25.549164,0.19,80.88,2.05,,1
2015-04-14,100683,60.303725,25.549164,3.35,74.29,4.82,,1
2015-05-10,100947,60.37788,22.0964,7.59,81.21,4.89,,1
2015-07-06,101785,64.66589,24.40695,14.36,57.54,4.18,,1
2015-07-31,101785,64.66589,24.40695,15.98,90.83,2.75,,1
2015-08-02,100947,60.37788,22.0964,16.28,74.71,5.56,,1
2015-08-20,101785,64.66589,24.40695,16.93,81.12,8.35,,1
2015-08-30,100947,60.37788,22.0964,16.89,77.71,3.67,,1
2015-09-25,101851,65.868932,24.179364,12.14,90.88,3.15,2.1,1
2016-05-01,101059,60.722198,21.02681,7.62,71.33,3.19,0.0,1
2016-05-03,101194,60.6965,26.811056,10.98,61.71,,0.0,1
2016-05-06,101194,60.6965,26.811056,13.82,54.04,,0.0,1
2016-05-25,100947,60.37788,22.0964,15.6,79.96,4.2,,1
2016-05-28,100947,60.37788,22.0964,15.01,73.83,5.25,,1
2016-06-04,101785,64.66589,24.40695,9.01,67.33,7.59,,1
2016-07-20,852678,60.291281,24.567815,17.25,60.5,3.45,0.0,1
2016-08-27,100947,60.37788,22.0964,17.73,66.96,9.16,,1
2016-09-03,101785,64.66589,24.40695,11.19,81.54,4.15,,1
2016-09-09,100683,60.303725,25.549164,13.42,77.25,3.0,,1
2016-09-11,101851,65.868932,24.179364,12.4,93.62,2.26,4.8,1
2017-01-01,101785,64.66589,24.40695,-4.64,90.25,3.61,,1
2017-05-07,100947,60.37788,22.0964,6.32,59.08,4.36,,1
2017-05-12,101785,64.66589,24.40695,1.6,72.21,5.91,,1
2017-05-19,101124,61.465606,23.746783,17.84,66.08,,0.0,1
2017-06-03,101785,64.66589,24.40695,5.07,69.88,7.63,,1
2017-07-26,100947,60.37788,22.0964,17.97,74.42,4.23,,1
2017-07-26,100953,59.843831,23.248587,16.9,80.67,,0.0,1
2017-07-29,101785,64.66589,24.40695,16.64,82.75,5.7,,1
2017-07-31,100947,60.37788,22.0964,18.66,83.58,6.73,,1
2017-08-09,101851,65.868932,24.179364,15.84,83.75,2.66,0.0,1
2017-10-07,101785,64.66589,24.40695,6.97,95.12,1.87,,1
2017-10-24,100683,60.303725,25.549164,2.15,87.96,3.02,,1
2018-04-03,100947,60.37788,22.0964,-0.41,68.83,4.38,,1
2018-05-05,101194,60.6965,26.811056,7.66,73.38,,0.0,1
2018-05-09,101104,60.813972,23.49825,12.75,43.38,3.74,0.0,1
2018-05-10,100947,60.37788,22.0964,14.45,45.5,7.01,,1
2018-05-10,100967,60.464154,23.649757,13.15,46.79,4.85,0.0,1
2018-05-10,101128,60.64668,23.80559,12.12,51.54,3.26,0.0,1
2018-06-12,101128,60.64668,23.80559,15.14,49.0,2.67,0.1,1
2018-06-16,100947,60.37788,22.0964,16.16,76.21,4.26,,1
2018-07-28,101851,65.868932,24.179364,18.54,72.58,1.63,0.0,1
2018-08-02,100947,60.37788,22.0964,24.55,77.12,4.67,,1
2018-08-11,100947,60.37788,22.0964,19.2,62.33,7.34,,1
2018-08-16,100947,60.37788,22.0964,18.07,78.12,5.57,,1
2018-09-01,101785,64.66589,24.40695,13.64,86.88,3.49,,1
2018-09-16,101289,62.413445,22.183722,8.04,82.79,3.4,0.0,1
2018-09-22,137208,62.393322,25.688617,13.2,78.88,3.47,1.0,1
2018-09-29,101785,64.66589,24.40695,5.17,80.62,7.05,,1
2018-10-23,101503,63.120333,23.043639,0.52,93.38,1.72,0.0,1
2018-10-26,100947,60.37788,22.0964,3.11,86.38,6.1,,1
2018-10-14,101103,61.25294,22.34613,13.82,78.67,4.02,0.0,1
2019-01-26,101826,64.931252,28.746722,-21.94,82.5,2.41,0.1,1
2019-04-23,100947,60.37788,22.0964,7.36,79.25,4.1,,1
2019-04-24,100947,60.37788,22.0964,10.47,57.88,0.7,,1
2019-06-18,137208,62.393322,25.688617,19.77,51.79,4.28,0.0,1
2019-06-19,100947,60.37788,22.0964,17.35,81.96,7.21,,1
2019-09-02,101785,64.66589,24.40695,18.07,79.67,6.45,,1
2019-10-25,100947,60.37788,22.0964,11.24,85.62,9.61,,1
2019-12-19,101103,61.25294,22.34613,0.5,94.46,3.09,0.0,1
2020-02-26,101785,64.66589,24.40695,-6.69,84.04,3.25,,1
2020-03-25,101851,65.868932,24.179364,3.4,74.5,3.8,0.0,1
2020-03-20,101785,64.66589,24.40695,-2.9,69.0,6.59,,1
2020-04-30,100947,60.37788,22.0964,3.82,68.42,3.93,,1
2020-04-22,100947,60.37788,22.0964,7.48,68.62,4.31,,1
2020-05-25,137208,62.393322,25.688617,13.53,36.96,2.49,0.0,1
2020-05-25,101528,63.44564,24.44422,11.73,50.08,1.43,,1
2020-06-11,100968,60.329368,24.97274,17.91,60.54,4.44,0.0,1
2020-06-14,101785,64.66589,24.40695,16.97,57.96,7.11,,1
2020-06-23,101252,61.1982,28.47308,21.23,60.33,2.71,,1
2020-06-23,101826,64.931252,28.746722,19.37,57.29,2.09,0.0,1
2020-06-26,101805,65.40014,26.96311,20.08,49.0,4.02,0.0,1
2020-06-27,100947,60.37788,22.0964,22.73,70.46,4.24,,1
2020-07-03,100947,60.37788,22.0964,16.58,74.25,7.57,,1
2020-07-14,137208,62.393322,25.688617,13.25,67.54,2.15,0.1,1
2020-07-20,101785,64.66589,24.40695,19.2,77.29,3.4,,1
2020-08-04,100947,60.37788,22.0964,18.15,74.33,4.7,,1
2020-08-07,100947,60.37788,22.0964,20.5,84.21,3.39,,1
2020-08-11,101785,64.66589,24.40695,14.61,67.54,3.14,,1
2020-08-15,101851,65.868932,24.179364,17.2,71.12,2.6,0.0,1
2020-08-18,101503,63.120333,23.043639,13.92,68.88,1.6,0.0,1
2020-08-20,101785,64.66589,24.40695,19.15,79.38,6.51,,1
2020-09-08,101785,64.66589,24.40695,11.25,88.46,6.52,,1
2020-09-21,100947,60.37788,22.0964,13.61,84.17,6.42,,1
2020-09-24,137208,62.393322,25.688617,11.67,97.54,2.54,4.1,1
2020-10-03,101785,64.66589,24.40695,9.56,85.5,6.17,,1
2020-10-17,101609,63.23236,29.23397,4.31,89.46,3.08,3.0,1
2020-10-18,101785,64.66589,24.40695,1.99,94.5,3.26,,1
2020-10-29,100683,60.303725,25.549164,10.17,91.33,4.21,,1
2020-11-06,100947,60.37788,22.0964,11.36,72.42,6.39,,1
2020-11-10,100683,60.303725,25.549164,0.06,97.88,3.2,,1
2020-11-15,101572,63.143426,27.313171,1.59,90.54,4.03,0.0,1
2021-02-28,101785,64.66589,24.40695,1.08,87.58,6.94,,1
2021-03-24,101785,64.66589,24.40695,2.36,84.17,11.11,,1
2021-03-30,101851,65.868932,24.179364,3.4,70.83,3.93,0.0,1
2021-04-11,137208,62.393322,25.688617,3.15,53.17,3.26,0.0,1
